article_path,question,answer
train/102.txt,ตัวแทนจาก WEDO Developer “Team 26” ชื่ออะไร?,“Team 26”
train/102.txt,มีกี่ประเทศในเอเชียตะวันออกเฉียงใต้ที่แข่งขันใน AWS Microservices GameDay 2020,10
train/102.txt,การแข่งขันมีชื่อว่าอะไร,AWS Microservices GameDay 2020
train/102.txt,แข่งขันเกี่ยวกับอะไร,แข่งกันตั้งระบบจากโจทย์ที่ได้รับมาให้เสถียรและมีประสิทธิภาพสูงสุด
train/102.txt,ใครได้รับชัยชนะในการแข่งขันนี้,ตัวแทนจาก WEDO Developer “Team 26”
train/102.txt,กลุ่มผู้ใช้บริการ Amazon Web Services (AWS) มีกี่คน,กว่า 160 คน
train/102.txt,กลุ่มผู้ใช้บริการมาจากกี่องค์กร,43 องค์กรชั้นนำ
train/102.txt,มีแฮชแท็กอะไรบ้างจากบทความ,#WEDO #Developer #AWS #AWSGameDay2020
train/103.txt,โปรแกรมการทำงานจริงสำหรับ WEDO Young Talent ใช้เวลานานแค่ไหน?,10 สัปดาห์
train/103.txt,concept ของ  WEDO Young Talent คืออะไร,“WEDO Young Talent Innoprise”
train/103.txt,ตรวจสอบกำหนดการของโครงการได้ที่ไหน?,ทางอีเมล
train/103.txt,จากบทความ ประกอบด้วย hashtag อะไรบ้าง?,#WEDO #DigitalOffice #GoBigRed #WEDOYoungTalent
train/104.txt,ตั้งการ์ดรับมืออะไร?,COVID-19
train/104.txt,"ความหมายของ ""Core"" ใน Innovation portfolio คืออะไร?",การนำนวัตกรรมมาพัฒนาต่อยอดธุรกิจเดิมที่มีอยู่
train/104.txt,"ความหมายของ ""Adjacent"" ใน Innovation portfolio คืออะไร?",สร้าง customer experience ใหม่ ๆ
train/104.txt,จากบทความ Democratization มีความหมายอย่างไร,เพิ่มโอกาสให้ทุกคนเข้าถึงสินค้าและบริการได้มากยิ่งขึ้น
train/104.txt,ตัวอย่างการ Democratization เช่นอะไรบ้าง?,เราสามารถเรียกรถ taxi ผ่านแอปได้ แม้จะอยู่ในที่ ๆ ไกลตัวเมือง
train/104.txt,Monetization ในบทความคืออะไร,สามารถสร้างรายได้ได้
train/104.txt,Facebook WEDO จะมีอะไรแจกให้ทุกคนเรื่อย ๆ,how to ดี ๆ
train/104.txt,ดาวน์โหลด checklist ได้ที่ไหน?,http://bit.ly/37t39T7
train/104.txt,มี hashtag อะไรบ้างในบทความ?,#WEDO #NewNormal
train/106.txt,อะไรสำคัญกว่าความเก่ง,“ชุดความคิดและทัศนคติ”
train/106.txt,อะไรคือสิ่งที่สามารถฝึกฝนได้,ทักษะ
train/106.txt,อะไรคือสิ่งที่ท้าทายที่สุดในการสรรหาบุคลากรที่มีความสามารถ?,“ความคิด หรือ ทัศนคติ”
train/106.txt,สิ่งที่องค์กรยุคนี้มองหาจาก talent คือ?,แนวคิดแบบ “Intrepreneur”
train/106.txt,แนวคิดแบบ “Intrepreneur” คือ?,เราเปรียบเหมือนเจ้าของกิจการในองค์กรที่เราร่วมงานอยู่ เราอยากจะสร้างความเปลี่ยนแปลง กล้าล้มเหลว กล้าลองผิดลองถูก และที่สำคัญ เราอยากช่วยให้ลูกค้าของเรามีชีวิตที่ดีขึ้น
train/106.txt,ข้อความอะไรคือส่วนขยายของ marketing hashtag #WEDO ?,"we hire for attitude, we train for skill."
train/107.txt,หากน้องคนไหนยังไม่ได้รับอีเมล สามารถแจ้งได้ทางช่องทางใด,inbox มาบอกที่เพจ WEDO
train/107.txt,WEDO Young Talent Program 2021 เหมาะสำหรับใคร,คนรุ่นใหม่ที่อยากมาร่วมประสบการณ์ทำงานจริงและฝึกตัวเองให้เป็นคน “T-shape”
train/107.txt,WEDO ส่งอะไรไปให้ผู้เข้าร่วมทางอีเมล?,ข่าวสารของโครงการ
train/107.txt,มีแฮชแท็กอะไรบ้างจากบทความ?,#WEDO #DigitalOffice #GoBigRed #WEDOYoungTalent
train/108.txt,โครงการ WEDO Young Talent เริ่มต้นปีใด,2021
train/108.txt,WEDO Young Talent Program มีสาขาอะไรบ้าง?,Design-Business-Technology
train/108.txt,ปิดรับสมัครเมื่อใด,30 พฤศจิกายน 2563
train/108.txt,อยากจะสมัครโครงการ ดูได้ที่ไหน?,https://bit.ly/3kYOovn
train/108.txt,บทความผู้เขียนใส่แฮชแท็กอะไรลงไปบ้าง?,#WEDO #DigitalOffice #GoBigRed #WEDOYoungTalent
train/110.txt,คุณสามารถทำงานที่ไหน?,อยู่ที่ไหนก็ทำงานได้
train/110.txt,WEDO กำลังมองหาอะไร?,ทีมงานที่มี passion อยากสร้างสรรค์ผลงานดี ๆ
train/110.txt,ทีมงาน Corporate Innovation สังกัดองค์กรใด,SCG Cement-Bulding Materials
train/110.txt,อยากทราบตำแหน่งที่ WEDO เปิดรับสมัครทั้งหมดได้ที่ URL ใด?,https://jobs.techsauce.co/scg-digital-life/jobs
